,From,To,Type
0,"(1, 1, 1)","(1, 1, 1)",Calculate
1,"(1, 1, 1)","(1, 2, 1)",Move data
2,"(1, 2, 1)","(1, 2, 1)",Calculate
3,"(1, 2, 1)","(1, 2, 2)",Move data
4,"(1, 2, 2)","(1, 2, 2)",Calculate
5,"(1, 2, 1)","(1, 3, 1)",Move data
6,"(1, 3, 1)","(1, 3, 1)",Calculate
7,"(1, 2, 2)","(1, 3, 2)",Move data
8,"(1, 3, 1)","(1, 3, 2)",Move data
9,"(1, 3, 2)","(1, 3, 2)",Calculate
10,"(1, 3, 2)","(1, 3, 3)",Move data
11,"(1, 3, 3)","(1, 3, 3)",Calculate
12,"(1, 3, 1)","(1, 4, 1)",Move data
13,"(1, 4, 1)","(1, 4, 1)",Calculate
14,"(1, 3, 2)","(1, 4, 2)",Move data
15,"(1, 4, 1)","(1, 4, 2)",Move data
16,"(1, 4, 2)","(1, 4, 2)",Calculate
17,"(1, 3, 3)","(1, 4, 3)",Move data
18,"(1, 4, 2)","(1, 4, 3)",Move data
19,"(1, 4, 3)","(1, 4, 3)",Calculate
20,"(1, 4, 3)","(1, 4, 4)",Move data
21,"(1, 4, 4)","(1, 4, 4)",Calculate
22,"(1, 4, 1)","(1, 5, 1)",Move data
23,"(1, 5, 1)","(1, 5, 1)",Calculate
24,"(1, 4, 2)","(1, 5, 2)",Move data
25,"(1, 5, 1)","(1, 5, 2)",Move data
26,"(1, 5, 2)","(1, 5, 2)",Calculate
27,"(1, 4, 3)","(1, 5, 3)",Move data
28,"(1, 5, 2)","(1, 5, 3)",Move data
29,"(1, 5, 3)","(1, 5, 3)",Calculate
30,"(1, 4, 4)","(1, 5, 4)",Move data
31,"(1, 5, 3)","(1, 5, 4)",Move data
32,"(1, 5, 4)","(1, 5, 4)",Calculate
33,"(1, 5, 4)","(1, 5, 5)",Move data
34,"(1, 5, 5)","(1, 5, 5)",Calculate
35,"(1, 5, 1)","(1, 6, 1)",Move data
36,"(1, 6, 1)","(1, 6, 1)",Calculate
37,"(1, 5, 2)","(1, 6, 2)",Move data
38,"(1, 6, 1)","(1, 6, 2)",Move data
39,"(1, 6, 2)","(1, 6, 2)",Calculate
40,"(1, 5, 3)","(1, 6, 3)",Move data
41,"(1, 6, 2)","(1, 6, 3)",Move data
42,"(1, 6, 3)","(1, 6, 3)",Calculate
43,"(1, 5, 4)","(1, 6, 4)",Move data
44,"(1, 6, 3)","(1, 6, 4)",Move data
45,"(1, 6, 4)","(1, 6, 4)",Calculate
46,"(1, 5, 5)","(1, 6, 5)",Move data
47,"(1, 6, 4)","(1, 6, 5)",Move data
48,"(1, 6, 5)","(1, 6, 5)",Calculate
49,"(1, 6, 5)","(1, 6, 6)",Move data
50,"(1, 6, 6)","(1, 6, 6)",Calculate
51,"(1, 6, 1)","(1, 7, 1)",Move data
52,"(1, 7, 1)","(1, 7, 1)",Calculate
53,"(1, 6, 2)","(1, 7, 2)",Move data
54,"(1, 7, 1)","(1, 7, 2)",Move data
55,"(1, 7, 2)","(1, 7, 2)",Calculate
56,"(1, 6, 3)","(1, 7, 3)",Move data
57,"(1, 7, 2)","(1, 7, 3)",Move data
58,"(1, 7, 3)","(1, 7, 3)",Calculate
59,"(1, 6, 4)","(1, 7, 4)",Move data
60,"(1, 7, 3)","(1, 7, 4)",Move data
61,"(1, 7, 4)","(1, 7, 4)",Calculate
62,"(1, 6, 5)","(1, 7, 5)",Move data
63,"(1, 7, 4)","(1, 7, 5)",Move data
64,"(1, 7, 5)","(1, 7, 5)",Calculate
65,"(1, 6, 6)","(1, 7, 6)",Move data
66,"(1, 7, 5)","(1, 7, 6)",Move data
67,"(1, 7, 6)","(1, 7, 6)",Calculate
68,"(1, 7, 6)","(1, 7, 7)",Move data
69,"(1, 7, 7)","(1, 7, 7)",Calculate
70,"(1, 7, 1)","(1, 8, 1)",Move data
71,"(1, 8, 1)","(1, 8, 1)",Calculate
72,"(1, 7, 2)","(1, 8, 2)",Move data
73,"(1, 8, 1)","(1, 8, 2)",Move data
74,"(1, 8, 2)","(1, 8, 2)",Calculate
75,"(1, 7, 3)","(1, 8, 3)",Move data
76,"(1, 8, 2)","(1, 8, 3)",Move data
77,"(1, 8, 3)","(1, 8, 3)",Calculate
78,"(1, 7, 4)","(1, 8, 4)",Move data
79,"(1, 8, 3)","(1, 8, 4)",Move data
80,"(1, 8, 4)","(1, 8, 4)",Calculate
81,"(1, 7, 5)","(1, 8, 5)",Move data
82,"(1, 8, 4)","(1, 8, 5)",Move data
83,"(1, 8, 5)","(1, 8, 5)",Calculate
84,"(1, 7, 6)","(1, 8, 6)",Move data
85,"(1, 8, 5)","(1, 8, 6)",Move data
86,"(1, 8, 6)","(1, 8, 6)",Calculate
87,"(1, 7, 7)","(1, 8, 7)",Move data
88,"(1, 8, 6)","(1, 8, 7)",Move data
89,"(1, 8, 7)","(1, 8, 7)",Calculate
90,"(1, 8, 7)","(1, 8, 8)",Move data
91,"(1, 8, 8)","(1, 8, 8)",Calculate
92,"(1, 2, 2)","(2, 2, 2)",Move data
93,"(1, 3, 2)","(2, 3, 2)",Move data
94,"(2, 2, 2)","(2, 3, 2)",Move data
95,"(1, 3, 3)","(2, 3, 3)",Move data
96,"(2, 3, 2)","(2, 3, 3)",Move data
97,"(2, 3, 3)","(2, 3, 3)",Calculate
98,"(1, 4, 2)","(2, 4, 2)",Move data
99,"(2, 3, 2)","(2, 4, 2)",Move data
100,"(1, 4, 3)","(2, 4, 3)",Move data
101,"(2, 3, 3)","(2, 4, 3)",Move data
102,"(2, 4, 2)","(2, 4, 3)",Move data
103,"(1, 4, 4)","(2, 4, 4)",Move data
104,"(2, 4, 3)","(2, 4, 4)",Move data
105,"(2, 4, 4)","(2, 4, 4)",Calculate
106,"(1, 5, 2)","(2, 5, 2)",Move data
107,"(2, 4, 2)","(2, 5, 2)",Move data
108,"(1, 5, 3)","(2, 5, 3)",Move data
109,"(2, 4, 3)","(2, 5, 3)",Move data
110,"(2, 5, 2)","(2, 5, 3)",Move data
111,"(1, 5, 4)","(2, 5, 4)",Move data
112,"(2, 4, 4)","(2, 5, 4)",Move data
113,"(2, 5, 3)","(2, 5, 4)",Move data
114,"(1, 5, 5)","(2, 5, 5)",Move data
115,"(2, 5, 4)","(2, 5, 5)",Move data
116,"(2, 5, 5)","(2, 5, 5)",Calculate
117,"(1, 6, 2)","(2, 6, 2)",Move data
118,"(2, 5, 2)","(2, 6, 2)",Move data
119,"(1, 6, 3)","(2, 6, 3)",Move data
120,"(2, 5, 3)","(2, 6, 3)",Move data
121,"(2, 6, 2)","(2, 6, 3)",Move data
122,"(1, 6, 4)","(2, 6, 4)",Move data
123,"(2, 5, 4)","(2, 6, 4)",Move data
124,"(2, 6, 3)","(2, 6, 4)",Move data
125,"(1, 6, 5)","(2, 6, 5)",Move data
126,"(2, 5, 5)","(2, 6, 5)",Move data
127,"(2, 6, 4)","(2, 6, 5)",Move data
128,"(1, 6, 6)","(2, 6, 6)",Move data
129,"(2, 6, 5)","(2, 6, 6)",Move data
130,"(2, 6, 6)","(2, 6, 6)",Calculate
131,"(1, 7, 2)","(2, 7, 2)",Move data
132,"(2, 6, 2)","(2, 7, 2)",Move data
133,"(1, 7, 3)","(2, 7, 3)",Move data
134,"(2, 6, 3)","(2, 7, 3)",Move data
135,"(2, 7, 2)","(2, 7, 3)",Move data
136,"(1, 7, 4)","(2, 7, 4)",Move data
137,"(2, 6, 4)","(2, 7, 4)",Move data
138,"(2, 7, 3)","(2, 7, 4)",Move data
139,"(1, 7, 5)","(2, 7, 5)",Move data
140,"(2, 6, 5)","(2, 7, 5)",Move data
141,"(2, 7, 4)","(2, 7, 5)",Move data
142,"(1, 7, 6)","(2, 7, 6)",Move data
143,"(2, 6, 6)","(2, 7, 6)",Move data
144,"(2, 7, 5)","(2, 7, 6)",Move data
145,"(1, 7, 7)","(2, 7, 7)",Move data
146,"(2, 7, 6)","(2, 7, 7)",Move data
147,"(2, 7, 7)","(2, 7, 7)",Calculate
148,"(1, 8, 2)","(2, 8, 2)",Move data
149,"(2, 7, 2)","(2, 8, 2)",Move data
150,"(1, 8, 3)","(2, 8, 3)",Move data
151,"(2, 7, 3)","(2, 8, 3)",Move data
152,"(2, 8, 2)","(2, 8, 3)",Move data
153,"(1, 8, 4)","(2, 8, 4)",Move data
154,"(2, 7, 4)","(2, 8, 4)",Move data
155,"(2, 8, 3)","(2, 8, 4)",Move data
156,"(1, 8, 5)","(2, 8, 5)",Move data
157,"(2, 7, 5)","(2, 8, 5)",Move data
158,"(2, 8, 4)","(2, 8, 5)",Move data
159,"(1, 8, 6)","(2, 8, 6)",Move data
160,"(2, 7, 6)","(2, 8, 6)",Move data
161,"(2, 8, 5)","(2, 8, 6)",Move data
162,"(1, 8, 7)","(2, 8, 7)",Move data
163,"(2, 7, 7)","(2, 8, 7)",Move data
164,"(2, 8, 6)","(2, 8, 7)",Move data
165,"(1, 8, 8)","(2, 8, 8)",Move data
166,"(2, 8, 7)","(2, 8, 8)",Move data
167,"(2, 8, 8)","(2, 8, 8)",Calculate
168,"(2, 3, 3)","(3, 3, 3)",Move data
169,"(2, 4, 3)","(3, 4, 3)",Move data
170,"(3, 3, 3)","(3, 4, 3)",Move data
171,"(2, 4, 4)","(3, 4, 4)",Move data
172,"(3, 4, 3)","(3, 4, 4)",Move data
173,"(3, 4, 4)","(3, 4, 4)",Calculate
174,"(2, 5, 3)","(3, 5, 3)",Move data
175,"(3, 4, 3)","(3, 5, 3)",Move data
176,"(2, 5, 4)","(3, 5, 4)",Move data
177,"(3, 4, 4)","(3, 5, 4)",Move data
178,"(3, 5, 3)","(3, 5, 4)",Move data
179,"(2, 5, 5)","(3, 5, 5)",Move data
180,"(3, 5, 4)","(3, 5, 5)",Move data
181,"(3, 5, 5)","(3, 5, 5)",Calculate
182,"(2, 6, 3)","(3, 6, 3)",Move data
183,"(3, 5, 3)","(3, 6, 3)",Move data
184,"(2, 6, 4)","(3, 6, 4)",Move data
185,"(3, 5, 4)","(3, 6, 4)",Move data
186,"(3, 6, 3)","(3, 6, 4)",Move data
187,"(2, 6, 5)","(3, 6, 5)",Move data
188,"(3, 5, 5)","(3, 6, 5)",Move data
189,"(3, 6, 4)","(3, 6, 5)",Move data
190,"(2, 6, 6)","(3, 6, 6)",Move data
191,"(3, 6, 5)","(3, 6, 6)",Move data
192,"(3, 6, 6)","(3, 6, 6)",Calculate
193,"(2, 7, 3)","(3, 7, 3)",Move data
194,"(3, 6, 3)","(3, 7, 3)",Move data
195,"(2, 7, 4)","(3, 7, 4)",Move data
196,"(3, 6, 4)","(3, 7, 4)",Move data
197,"(3, 7, 3)","(3, 7, 4)",Move data
198,"(2, 7, 5)","(3, 7, 5)",Move data
199,"(3, 6, 5)","(3, 7, 5)",Move data
200,"(3, 7, 4)","(3, 7, 5)",Move data
201,"(2, 7, 6)","(3, 7, 6)",Move data
202,"(3, 6, 6)","(3, 7, 6)",Move data
203,"(3, 7, 5)","(3, 7, 6)",Move data
204,"(2, 7, 7)","(3, 7, 7)",Move data
205,"(3, 7, 6)","(3, 7, 7)",Move data
206,"(3, 7, 7)","(3, 7, 7)",Calculate
207,"(2, 8, 3)","(3, 8, 3)",Move data
208,"(3, 7, 3)","(3, 8, 3)",Move data
209,"(2, 8, 4)","(3, 8, 4)",Move data
210,"(3, 7, 4)","(3, 8, 4)",Move data
211,"(3, 8, 3)","(3, 8, 4)",Move data
212,"(2, 8, 5)","(3, 8, 5)",Move data
