,From,To,Type
0,"(1, 1, 1)","(1, 1, 1)",Calculate
1,"(1, 1, 1)","(1, 2, 1)",Move data
2,"(1, 2, 1)","(1, 2, 1)",Calculate
3,"(1, 2, 1)","(1, 2, 2)",Move data
4,"(1, 2, 2)","(1, 2, 2)",Calculate
5,"(1, 2, 1)","(1, 3, 1)",Move data
6,"(1, 3, 1)","(1, 3, 1)",Calculate
7,"(1, 2, 2)","(1, 3, 2)",Move data
8,"(1, 3, 1)","(1, 3, 2)",Move data
9,"(1, 3, 2)","(1, 3, 2)",Calculate
10,"(1, 3, 2)","(1, 3, 3)",Move data
11,"(1, 3, 3)","(1, 3, 3)",Calculate
12,"(1, 3, 1)","(1, 4, 1)",Move data
13,"(1, 4, 1)","(1, 4, 1)",Calculate
14,"(1, 3, 2)","(1, 4, 2)",Move data
15,"(1, 4, 1)","(1, 4, 2)",Move data
16,"(1, 4, 2)","(1, 4, 2)",Calculate
17,"(1, 3, 3)","(1, 4, 3)",Move data
18,"(1, 4, 2)","(1, 4, 3)",Move data
19,"(1, 4, 3)","(1, 4, 3)",Calculate
20,"(1, 4, 3)","(1, 4, 4)",Move data
21,"(1, 4, 4)","(1, 4, 4)",Calculate
22,"(1, 2, 2)","(2, 2, 2)",Move data
23,"(1, 3, 2)","(2, 3, 2)",Move data
24,"(2, 2, 2)","(2, 3, 2)",Move data
25,"(1, 3, 3)","(2, 3, 3)",Move data
26,"(2, 3, 2)","(2, 3, 3)",Move data
27,"(2, 3, 3)","(2, 3, 3)",Calculate
28,"(1, 4, 2)","(2, 4, 2)",Move data
29,"(2, 3, 2)","(2, 4, 2)",Move data
30,"(1, 4, 3)","(2, 4, 3)",Move data
31,"(2, 3, 3)","(2, 4, 3)",Move data
32,"(2, 4, 2)","(2, 4, 3)",Move data
33,"(1, 4, 4)","(2, 4, 4)",Move data
34,"(2, 4, 3)","(2, 4, 4)",Move data
35,"(2, 4, 4)","(2, 4, 4)",Calculate
36,"(2, 3, 3)","(3, 3, 3)",Move data
37,"(2, 4, 3)","(3, 4, 3)",Move data
38,"(3, 3, 3)","(3, 4, 3)",Move data
39,"(2, 4, 4)","(3, 4, 4)",Move data
40,"(3, 4, 3)","(3, 4, 4)",Move data
41,"(3, 4, 4)","(3, 4, 4)",Calculate
42,"(3, 4, 4)","(4, 4, 4)",Move data
43,"(4, 4, 4)","(4, 4, 4)",Calculate
