,From,To,Type
0,"(1, 1, 1)","(1, 1, 1)",Calculate
1,"(1, 1, 1)","(1, 2, 1)",Move data
2,"(1, 2, 1)","(1, 2, 1)",Calculate
3,"(1, 2, 1)","(1, 2, 2)",Move data
4,"(1, 2, 2)","(1, 2, 2)",Calculate
5,"(1, 2, 1)","(1, 3, 1)",Move data
6,"(1, 3, 1)","(1, 3, 1)",Calculate
7,"(1, 2, 2)","(1, 3, 2)",Move data
8,"(1, 3, 1)","(1, 3, 2)",Move data
9,"(1, 3, 2)","(1, 3, 2)",Calculate
10,"(1, 3, 2)","(1, 3, 3)",Move data
11,"(1, 3, 3)","(1, 3, 3)",Calculate
12,"(1, 3, 1)","(1, 4, 1)",Move data
13,"(1, 4, 1)","(1, 4, 1)",Calculate
14,"(1, 3, 2)","(1, 4, 2)",Move data
15,"(1, 4, 1)","(1, 4, 2)",Move data
16,"(1, 4, 2)","(1, 4, 2)",Calculate
17,"(1, 3, 3)","(1, 4, 3)",Move data
18,"(1, 4, 2)","(1, 4, 3)",Move data
19,"(1, 4, 3)","(1, 4, 3)",Calculate
20,"(1, 4, 3)","(1, 4, 4)",Move data
21,"(1, 4, 4)","(1, 4, 4)",Calculate
22,"(1, 4, 1)","(1, 5, 1)",Move data
23,"(1, 5, 1)","(1, 5, 1)",Calculate
24,"(1, 4, 2)","(1, 5, 2)",Move data
25,"(1, 5, 1)","(1, 5, 2)",Move data
26,"(1, 5, 2)","(1, 5, 2)",Calculate
27,"(1, 4, 3)","(1, 5, 3)",Move data
28,"(1, 5, 2)","(1, 5, 3)",Move data
29,"(1, 5, 3)","(1, 5, 3)",Calculate
30,"(1, 4, 4)","(1, 5, 4)",Move data
31,"(1, 5, 3)","(1, 5, 4)",Move data
32,"(1, 5, 4)","(1, 5, 4)",Calculate
33,"(1, 5, 4)","(1, 5, 5)",Move data
34,"(1, 5, 5)","(1, 5, 5)",Calculate
35,"(1, 5, 1)","(1, 6, 1)",Move data
36,"(1, 6, 1)","(1, 6, 1)",Calculate
37,"(1, 5, 2)","(1, 6, 2)",Move data
38,"(1, 6, 1)","(1, 6, 2)",Move data
39,"(1, 6, 2)","(1, 6, 2)",Calculate
40,"(1, 5, 3)","(1, 6, 3)",Move data
41,"(1, 6, 2)","(1, 6, 3)",Move data
42,"(1, 6, 3)","(1, 6, 3)",Calculate
43,"(1, 5, 4)","(1, 6, 4)",Move data
44,"(1, 6, 3)","(1, 6, 4)",Move data
45,"(1, 6, 4)","(1, 6, 4)",Calculate
46,"(1, 5, 5)","(1, 6, 5)",Move data
47,"(1, 6, 4)","(1, 6, 5)",Move data
48,"(1, 6, 5)","(1, 6, 5)",Calculate
49,"(1, 6, 5)","(1, 6, 6)",Move data
50,"(1, 6, 6)","(1, 6, 6)",Calculate
51,"(1, 6, 1)","(1, 7, 1)",Move data
52,"(1, 7, 1)","(1, 7, 1)",Calculate
53,"(1, 6, 2)","(1, 7, 2)",Move data
54,"(1, 7, 1)","(1, 7, 2)",Move data
55,"(1, 7, 2)","(1, 7, 2)",Calculate
56,"(1, 6, 3)","(1, 7, 3)",Move data
57,"(1, 7, 2)","(1, 7, 3)",Move data
58,"(1, 7, 3)","(1, 7, 3)",Calculate
59,"(1, 6, 4)","(1, 7, 4)",Move data
60,"(1, 7, 3)","(1, 7, 4)",Move data
61,"(1, 7, 4)","(1, 7, 4)",Calculate
62,"(1, 6, 5)","(1, 7, 5)",Move data
63,"(1, 7, 4)","(1, 7, 5)",Move data
64,"(1, 7, 5)","(1, 7, 5)",Calculate
65,"(1, 6, 6)","(1, 7, 6)",Move data
66,"(1, 7, 5)","(1, 7, 6)",Move data
67,"(1, 7, 6)","(1, 7, 6)",Calculate
68,"(1, 7, 6)","(1, 7, 7)",Move data
69,"(1, 7, 7)","(1, 7, 7)",Calculate
70,"(1, 7, 1)","(1, 8, 1)",Move data
71,"(1, 8, 1)","(1, 8, 1)",Calculate
72,"(1, 7, 2)","(1, 8, 2)",Move data
73,"(1, 8, 1)","(1, 8, 2)",Move data
74,"(1, 8, 2)","(1, 8, 2)",Calculate
75,"(1, 7, 3)","(1, 8, 3)",Move data
76,"(1, 8, 2)","(1, 8, 3)",Move data
77,"(1, 8, 3)","(1, 8, 3)",Calculate
78,"(1, 7, 4)","(1, 8, 4)",Move data
79,"(1, 8, 3)","(1, 8, 4)",Move data
80,"(1, 8, 4)","(1, 8, 4)",Calculate
81,"(1, 7, 5)","(1, 8, 5)",Move data
82,"(1, 8, 4)","(1, 8, 5)",Move data
83,"(1, 8, 5)","(1, 8, 5)",Calculate
84,"(1, 7, 6)","(1, 8, 6)",Move data
85,"(1, 8, 5)","(1, 8, 6)",Move data
86,"(1, 8, 6)","(1, 8, 6)",Calculate
87,"(1, 7, 7)","(1, 8, 7)",Move data
88,"(1, 8, 6)","(1, 8, 7)",Move data
89,"(1, 8, 7)","(1, 8, 7)",Calculate
90,"(1, 8, 7)","(1, 8, 8)",Move data
91,"(1, 8, 8)","(1, 8, 8)",Calculate
92,"(1, 8, 1)","(1, 9, 1)",Move data
93,"(1, 9, 1)","(1, 9, 1)",Calculate
94,"(1, 8, 2)","(1, 9, 2)",Move data
95,"(1, 9, 1)","(1, 9, 2)",Move data
96,"(1, 9, 2)","(1, 9, 2)",Calculate
97,"(1, 8, 3)","(1, 9, 3)",Move data
98,"(1, 9, 2)","(1, 9, 3)",Move data
99,"(1, 9, 3)","(1, 9, 3)",Calculate
100,"(1, 8, 4)","(1, 9, 4)",Move data
101,"(1, 9, 3)","(1, 9, 4)",Move data
102,"(1, 9, 4)","(1, 9, 4)",Calculate
103,"(1, 8, 5)","(1, 9, 5)",Move data
104,"(1, 9, 4)","(1, 9, 5)",Move data
105,"(1, 9, 5)","(1, 9, 5)",Calculate
106,"(1, 8, 6)","(1, 9, 6)",Move data
107,"(1, 9, 5)","(1, 9, 6)",Move data
108,"(1, 9, 6)","(1, 9, 6)",Calculate
109,"(1, 8, 7)","(1, 9, 7)",Move data
110,"(1, 9, 6)","(1, 9, 7)",Move data
111,"(1, 9, 7)","(1, 9, 7)",Calculate
112,"(1, 8, 8)","(1, 9, 8)",Move data
113,"(1, 9, 7)","(1, 9, 8)",Move data
114,"(1, 9, 8)","(1, 9, 8)",Calculate
115,"(1, 9, 8)","(1, 9, 9)",Move data
116,"(1, 9, 9)","(1, 9, 9)",Calculate
117,"(1, 9, 1)","(1, 10, 1)",Move data
118,"(1, 10, 1)","(1, 10, 1)",Calculate
119,"(1, 9, 2)","(1, 10, 2)",Move data
120,"(1, 10, 1)","(1, 10, 2)",Move data
121,"(1, 10, 2)","(1, 10, 2)",Calculate
122,"(1, 9, 3)","(1, 10, 3)",Move data
123,"(1, 10, 2)","(1, 10, 3)",Move data
124,"(1, 10, 3)","(1, 10, 3)",Calculate
125,"(1, 9, 4)","(1, 10, 4)",Move data
126,"(1, 10, 3)","(1, 10, 4)",Move data
127,"(1, 10, 4)","(1, 10, 4)",Calculate
128,"(1, 9, 5)","(1, 10, 5)",Move data
129,"(1, 10, 4)","(1, 10, 5)",Move data
130,"(1, 10, 5)","(1, 10, 5)",Calculate
131,"(1, 9, 6)","(1, 10, 6)",Move data
132,"(1, 10, 5)","(1, 10, 6)",Move data
133,"(1, 10, 6)","(1, 10, 6)",Calculate
134,"(1, 9, 7)","(1, 10, 7)",Move data
135,"(1, 10, 6)","(1, 10, 7)",Move data
136,"(1, 10, 7)","(1, 10, 7)",Calculate
137,"(1, 9, 8)","(1, 10, 8)",Move data
138,"(1, 10, 7)","(1, 10, 8)",Move data
139,"(1, 10, 8)","(1, 10, 8)",Calculate
140,"(1, 9, 9)","(1, 10, 9)",Move data
141,"(1, 10, 8)","(1, 10, 9)",Move data
142,"(1, 10, 9)","(1, 10, 9)",Calculate
143,"(1, 10, 9)","(1, 10, 10)",Move data
144,"(1, 10, 10)","(1, 10, 10)",Calculate
145,"(1, 2, 2)","(2, 2, 2)",Move data
146,"(1, 3, 2)","(2, 3, 2)",Move data
147,"(2, 2, 2)","(2, 3, 2)",Move data
148,"(1, 3, 3)","(2, 3, 3)",Move data
149,"(2, 3, 2)","(2, 3, 3)",Move data
150,"(2, 3, 3)","(2, 3, 3)",Calculate
151,"(1, 4, 2)","(2, 4, 2)",Move data
152,"(2, 3, 2)","(2, 4, 2)",Move data
153,"(1, 4, 3)","(2, 4, 3)",Move data
154,"(2, 3, 3)","(2, 4, 3)",Move data
155,"(2, 4, 2)","(2, 4, 3)",Move data
156,"(1, 4, 4)","(2, 4, 4)",Move data
157,"(2, 4, 3)","(2, 4, 4)",Move data
158,"(2, 4, 4)","(2, 4, 4)",Calculate
159,"(1, 5, 2)","(2, 5, 2)",Move data
160,"(2, 4, 2)","(2, 5, 2)",Move data
161,"(1, 5, 3)","(2, 5, 3)",Move data
162,"(2, 4, 3)","(2, 5, 3)",Move data
163,"(2, 5, 2)","(2, 5, 3)",Move data
164,"(1, 5, 4)","(2, 5, 4)",Move data
165,"(2, 4, 4)","(2, 5, 4)",Move data
166,"(2, 5, 3)","(2, 5, 4)",Move data
167,"(1, 5, 5)","(2, 5, 5)",Move data
168,"(2, 5, 4)","(2, 5, 5)",Move data
169,"(2, 5, 5)","(2, 5, 5)",Calculate
170,"(1, 6, 2)","(2, 6, 2)",Move data
171,"(2, 5, 2)","(2, 6, 2)",Move data
172,"(1, 6, 3)","(2, 6, 3)",Move data
173,"(2, 5, 3)","(2, 6, 3)",Move data
174,"(2, 6, 2)","(2, 6, 3)",Move data
175,"(1, 6, 4)","(2, 6, 4)",Move data
176,"(2, 5, 4)","(2, 6, 4)",Move data
177,"(2, 6, 3)","(2, 6, 4)",Move data
178,"(1, 6, 5)","(2, 6, 5)",Move data
179,"(2, 5, 5)","(2, 6, 5)",Move data
180,"(2, 6, 4)","(2, 6, 5)",Move data
181,"(1, 6, 6)","(2, 6, 6)",Move data
182,"(2, 6, 5)","(2, 6, 6)",Move data
183,"(2, 6, 6)","(2, 6, 6)",Calculate
184,"(1, 7, 2)","(2, 7, 2)",Move data
185,"(2, 6, 2)","(2, 7, 2)",Move data
186,"(1, 7, 3)","(2, 7, 3)",Move data
187,"(2, 6, 3)","(2, 7, 3)",Move data
188,"(2, 7, 2)","(2, 7, 3)",Move data
189,"(1, 7, 4)","(2, 7, 4)",Move data
190,"(2, 6, 4)","(2, 7, 4)",Move data
191,"(2, 7, 3)","(2, 7, 4)",Move data
192,"(1, 7, 5)","(2, 7, 5)",Move data
193,"(2, 6, 5)","(2, 7, 5)",Move data
194,"(2, 7, 4)","(2, 7, 5)",Move data
195,"(1, 7, 6)","(2, 7, 6)",Move data
196,"(2, 6, 6)","(2, 7, 6)",Move data
197,"(2, 7, 5)","(2, 7, 6)",Move data
198,"(1, 7, 7)","(2, 7, 7)",Move data
199,"(2, 7, 6)","(2, 7, 7)",Move data
200,"(2, 7, 7)","(2, 7, 7)",Calculate
201,"(1, 8, 2)","(2, 8, 2)",Move data
202,"(2, 7, 2)","(2, 8, 2)",Move data
203,"(1, 8, 3)","(2, 8, 3)",Move data
204,"(2, 7, 3)","(2, 8, 3)",Move data
205,"(2, 8, 2)","(2, 8, 3)",Move data
206,"(1, 8, 4)","(2, 8, 4)",Move data
207,"(2, 7, 4)","(2, 8, 4)",Move data
208,"(2, 8, 3)","(2, 8, 4)",Move data
209,"(1, 8, 5)","(2, 8, 5)",Move data
210,"(2, 7, 5)","(2, 8, 5)",Move data
211,"(2, 8, 4)","(2, 8, 5)",Move data
212,"(1, 8, 6)","(2, 8, 6)",Move data
