,From,To,Type
0,"(1, 1, 1)","(1, 1, 1)",Calculate
1,"(1, 1, 1)","(1, 2, 1)",Move data
2,"(1, 2, 1)","(1, 2, 1)",Calculate
3,"(1, 2, 1)","(1, 2, 2)",Move data
4,"(1, 2, 2)","(1, 2, 2)",Calculate
5,"(1, 2, 1)","(1, 3, 1)",Move data
6,"(1, 3, 1)","(1, 3, 1)",Calculate
7,"(1, 2, 2)","(1, 3, 2)",Move data
8,"(1, 3, 1)","(1, 3, 2)",Move data
9,"(1, 3, 2)","(1, 3, 2)",Calculate
10,"(1, 3, 2)","(1, 3, 3)",Move data
11,"(1, 3, 3)","(1, 3, 3)",Calculate
12,"(1, 3, 1)","(1, 4, 1)",Move data
13,"(1, 4, 1)","(1, 4, 1)",Calculate
14,"(1, 3, 2)","(1, 4, 2)",Move data
15,"(1, 4, 1)","(1, 4, 2)",Move data
16,"(1, 4, 2)","(1, 4, 2)",Calculate
17,"(1, 3, 3)","(1, 4, 3)",Move data
18,"(1, 4, 2)","(1, 4, 3)",Move data
19,"(1, 4, 3)","(1, 4, 3)",Calculate
20,"(1, 4, 3)","(1, 4, 4)",Move data
21,"(1, 4, 4)","(1, 4, 4)",Calculate
22,"(1, 4, 1)","(1, 5, 1)",Move data
23,"(1, 5, 1)","(1, 5, 1)",Calculate
24,"(1, 4, 2)","(1, 5, 2)",Move data
25,"(1, 5, 1)","(1, 5, 2)",Move data
26,"(1, 5, 2)","(1, 5, 2)",Calculate
27,"(1, 4, 3)","(1, 5, 3)",Move data
28,"(1, 5, 2)","(1, 5, 3)",Move data
29,"(1, 5, 3)","(1, 5, 3)",Calculate
30,"(1, 4, 4)","(1, 5, 4)",Move data
31,"(1, 5, 3)","(1, 5, 4)",Move data
32,"(1, 5, 4)","(1, 5, 4)",Calculate
33,"(1, 5, 4)","(1, 5, 5)",Move data
34,"(1, 5, 5)","(1, 5, 5)",Calculate
35,"(1, 2, 2)","(2, 2, 2)",Move data
36,"(1, 3, 2)","(2, 3, 2)",Move data
37,"(2, 2, 2)","(2, 3, 2)",Move data
38,"(1, 3, 3)","(2, 3, 3)",Move data
39,"(2, 3, 2)","(2, 3, 3)",Move data
40,"(2, 3, 3)","(2, 3, 3)",Calculate
41,"(1, 4, 2)","(2, 4, 2)",Move data
42,"(2, 3, 2)","(2, 4, 2)",Move data
43,"(1, 4, 3)","(2, 4, 3)",Move data
44,"(2, 3, 3)","(2, 4, 3)",Move data
45,"(2, 4, 2)","(2, 4, 3)",Move data
46,"(1, 4, 4)","(2, 4, 4)",Move data
47,"(2, 4, 3)","(2, 4, 4)",Move data
48,"(2, 4, 4)","(2, 4, 4)",Calculate
49,"(1, 5, 2)","(2, 5, 2)",Move data
50,"(2, 4, 2)","(2, 5, 2)",Move data
51,"(1, 5, 3)","(2, 5, 3)",Move data
52,"(2, 4, 3)","(2, 5, 3)",Move data
53,"(2, 5, 2)","(2, 5, 3)",Move data
54,"(1, 5, 4)","(2, 5, 4)",Move data
55,"(2, 4, 4)","(2, 5, 4)",Move data
56,"(2, 5, 3)","(2, 5, 4)",Move data
57,"(1, 5, 5)","(2, 5, 5)",Move data
58,"(2, 5, 4)","(2, 5, 5)",Move data
59,"(2, 5, 5)","(2, 5, 5)",Calculate
60,"(2, 3, 3)","(3, 3, 3)",Move data
61,"(2, 4, 3)","(3, 4, 3)",Move data
62,"(3, 3, 3)","(3, 4, 3)",Move data
63,"(2, 4, 4)","(3, 4, 4)",Move data
64,"(3, 4, 3)","(3, 4, 4)",Move data
65,"(3, 4, 4)","(3, 4, 4)",Calculate
66,"(2, 5, 3)","(3, 5, 3)",Move data
67,"(3, 4, 3)","(3, 5, 3)",Move data
68,"(2, 5, 4)","(3, 5, 4)",Move data
69,"(3, 4, 4)","(3, 5, 4)",Move data
70,"(3, 5, 3)","(3, 5, 4)",Move data
71,"(2, 5, 5)","(3, 5, 5)",Move data
72,"(3, 5, 4)","(3, 5, 5)",Move data
73,"(3, 5, 5)","(3, 5, 5)",Calculate
74,"(3, 4, 4)","(4, 4, 4)",Move data
75,"(3, 5, 4)","(4, 5, 4)",Move data
76,"(4, 4, 4)","(4, 5, 4)",Move data
77,"(3, 5, 5)","(4, 5, 5)",Move data
78,"(4, 5, 4)","(4, 5, 5)",Move data
79,"(4, 5, 5)","(4, 5, 5)",Calculate
80,"(4, 5, 5)","(5, 5, 5)",Move data
81,"(5, 5, 5)","(5, 5, 5)",Calculate
