{9, 29, 13, 10, 23, 16, 3, 5  };
{4, 29, 3, 19, 7, 1, 2, 26  };
{17, 23, 2, 8, 1, 2, 12, 31 };
{12, 23, 12, 5, 16, 4, 6, 22 };
{21, 30, 2, 32, 27, 29, 2, 29 }; 
{25, 30, 8, 17, 18, 13, 31, 8 };
{6, 17, 2, 27, 12, 25, 29, 2 };
{25, 12, 27, 18, 4, 13, 2, 6  };
{4, 1, 2, 20, 18, 21, 12, 7 };
{17, 25, 7, 17, 13, 21, 9, 25 };
{31, 16, 10, 15, 4, 23, 29, 32}; 
{22, 1, 2, 20, 15, 5, 28, 0 };
{17, 5, 30, 24, 21, 12, 17, 31}; 
{27, 22, 11, 2, 3, 18, 31, 31 };
{14, 11, 20, 10, 13, 26, 26, 5}; 
{27, 9, 4, 5, 8, 13, 24, 17 };
{19, 30, 10, 26, 12, 12, 4, 1 };
{26, 29, 21, 31, 26, 13, 24, 6}; 
{19, 28, 23, 29, 4, 19, 23, 5 };
{16, 28, 22, 25, 3, 23, 3, 28 };
{6, 27, 31, 12, 25, 8, 15, 3  };
{26, 24, 18, 3, 16, 9, 31, 17 }; 
{7, 22, 3, 32, 5, 1, 3, 18 };
{18, 10, 31, 24, 7, 4, 21, 8 };
{1, 21, 29, 26, 21, 5, 13, 8 };
{8, 14, 19, 5, 11, 17, 6, 7 };
{19, 11, 30, 20, 23, 29, 13, 3}; 
{21, 17, 22, 21, 16, 29, 1, 10}; 
{31, 3, 14, 30, 12, 8, 14, 12 };
{3, 7, 22, 30, 23, 3, 22};
